annee_de_publication,nature,organisme_preteur_ou_chef_de_file,date_d_emission_ou_date_de_mobilisation,date_de_derniere_echeance,capital_initial,capital_restant_du_au_31_12_2016,type_de_taux_d_interet,index,taux_initial_niveau_de_taux,taux_initial_taux_actuariel,profil_d_amortissement,possibilite_de_remboursement,categorie_d_emprunt
2014,1641 - Emprunts établissements crédit,Helaba,2013-06-13,2028-06-13,25000000.0,25000000.0,Fixe,TAUX FIXE,2.81,2.8102,Emprunt in fine,oui,A-1
2017,16311 - Emissions obligataires,92 - HSBC,2012-10-02,2023-10-02,30000000.0,30000000.0,Fixe,TAUX FIXE,2.6,2.6002,Emprunt in fine,non,A-1
2016,16311 - Emissions obligataires,Crédit Suisse,2009-12-10,2020-01-10,49715000.0,49715000.0,Indexé,EURIBOR03M,-0.015,0.5452,Emprunt in fine,non,A-1
2018,16311 - Emissions obligataires,HSBC,None,2037-09-04,26000000.0,26000000.0,None,TAUX FIXE,1.579,1.579,Emprunt in fine,non,A-1
2009,16441 - Emprunts option tirage tréso,DEXIA CREDIT LOCAL,2007-12-31,2017-12-31,100000000.0,100000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2016,1641 - Emprunts établissements crédit,Helaba,2014-03-21,2029-03-21,25000000.0,25000000.0,Fixe,TAUX FIXE,2.84,2.8401,Emprunt in fine,oui,A-1
2012,16441 - Emprunts option tirage tréso,SOCIETE GENERALE,2005-12-30,2013-12-30,50000000.0,50000000.0,Fixe,TAUX FIXE,0.0,0.0,Emprunt in fine,oui,A-1
2008,16311 - Emissions obligataires,HSBC,2005-11-09,2018-11-09,50651230.1,50651230.1,Indexé,EURIBOR03M,0.021,1.3865,Emprunt in fine,oui,A-1
2008,168 Autres emprunts et dettes assimilées,S.I.A.A.P.,1976-01-01,2024-06-15,59348.4,59348.4,Fixe,TAUX FIXE,0.0,0.0,Échéance constante,oui,A-1
2010,16311 - Emissions obligataires,Crédit Suisse,2007-12-14,2017-02-14,24405125.08,24405125.08,Indexé,EURIBOR03M,-0.002,1.0934,Emprunt in fine,oui,A-1
